Diagnosed Diabetes; Number; Adults with Diabetes; U.S. States; 1999
Data downloaded on 21-September-2018
State,Number
Alabama,240295
Alaska,15146
Arizona,148505
Arkansas,125005
California,1474331
Colorado,114311
Connecticut,108311
Delaware,34051
District of Columbia,26777
Florida,801723
Georgia,315196
Hawaii,46533
Idaho,41936
Illinois,571045
Indiana,288887
Iowa,111676
Kansas,104960
Kentucky,188447
Louisiana,191245
Maine,50415
Maryland,263837
Massachusetts,236504
Michigan,396440
Minnesota,166479
Mississippi,156780
Missouri,243517
Montana,38044
Nebraska,52790
Nevada,78055
New Hampshire,36452
New Jersey,333034
New Mexico,67923
New York,784852
North Carolina,351397
North Dakota,23192
Ohio,508038
Oklahoma,140771
Oregon,114024
Pennsylvania,579514
Rhode Island,39794
South Carolina,182996
South Dakota,26306
Tennessee,245187
Texas,897368
Utah,57497
Vermont,18969
Virginia,316362
Washington,220949
West Virginia,101243
Wisconsin,205902
Wyoming,15680
Guam,No Data
Puerto Rico,262827
Virgin Islands of the U.S.,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
