Diagnosed Diabetes; Age-Adjusted; Percentage; Adults with Diabetes; U.S. States; 1995
Data downloaded on 19-October-2018
State,Percentage,Lower Limit, Upper Limit
Median of States,4.4,4.2,4.7
Alaska,4.2,2.6,6.7
Arkansas,4.9,4,6.1
California,6.1,4.8,7.8
Arizona,4.8,3.5,6.5
Colorado,3.7,2.9,4.8
Connecticut,4.3,3.3,5.5
Delaware,4.4,3.5,5.4
Florida,4.8,4.1,5.5
Georgia,4,3.2,5
Hawaii,3.5,2.6,4.5
Idaho,3.6,2.9,4.4
Indiana,5.1,4.2,6.1
Illinois,5.4,4.6,6.4
Iowa,5,4.3,5.9
Kansas,4.7,3.9,5.8
Kentucky,3.6,2.9,4.4
Maryland,4.4,3.9,5.1
District of Columbia,No Data,No Data,No Data
Massachusetts,3.9,3,5
Michigan,5.6,4.7,6.6
Louisiana,6.6,5.4,8.1
Minnesota,3.1,2.6,3.7
Mississippi,6.3,5.2,7.7
Maine,3.5,2.6,4.6
Nevada,5,3.9,6.4
New Hampshire,5.1,4,6.5
Alabama,4.7,3.8,5.9
Missouri,4.2,3.3,5.3
New Jersey,4.4,3.3,6
Nebraska,4.3,3.5,5.4
New York,4.4,3.6,5.5
New Mexico,5.7,4.4,7.3
North Carolina,4.8,4.1,5.6
North Dakota,3.6,2.8,4.6
Ohio,4.2,3.1,5.8
Montana,2.9,2.1,4
Oklahoma,3,2,4.3
Pennsylvania,5.4,4.7,6.3
Rhode Island,4.6,3.5,5.9
South Carolina,5,4,6.2
South Dakota,2.8,2.1,3.8
Oregon,4,3.3,4.8
Tennessee,5.3,4.3,6.4
Texas,5.7,4.6,7.1
Vermont,4.8,4,5.8
Virginia,4.2,3.3,5.4
Washington,3.1,2.6,3.8
West Virginia,4.5,3.7,5.4
Wisconsin,4.6,3.7,5.7
Wyoming,3.3,2.6,4.2
Guam,No Data,No Data,No Data
Utah,4.2,3.3,5.4
Puerto Rico,No Data,No Data,No Data
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
